PICHU: Width (cm), Height (cm)
(20.12, 28.70)
(15.20, 27.10)
(17.20, 27.67)
(16.79, 34.37)
(20.89, 31.48)
(20.41, 31.09)
(22.14, 26.71)
(15.70, 32.29)
(18.38, 26.63)
(15.24, 28.79)
(16.75, 34.90)
(19.04, 31.40)
(15.21, 30.57)
(16.59, 31.85)
(20.20, 33.43)
(19.36, 32.76)
(16.76, 27.29)
(19.71, 25.32)
(21.48, 28.15)
(15.05, 27.68)
(21.45, 27.11)
(20.59, 34.43)
(17.72, 33.76)
(16.24, 28.15)
(22.66, 31.55)
(17.69, 28.96)
(15.74, 34.15)
(15.77, 29.59)
(21.78, 27.65)
(19.83, 27.47)
(21.46, 30.61)
(20.84, 27.63)
(19.29, 30.85)
(22.78, 33.98)
(18.03, 28.99)
(19.42, 27.19)
(21.64, 34.98)
(19.95, 30.10)
(21.89, 25.91)
(19.62, 25.47)
(20.64, 26.10)
(15.37, 31.27)
(16.82, 32.92)
(17.32, 29.22)
(15.64, 25.64)
(16.86, 28.82)
(15.81, 34.96)
(17.22, 30.29)
(20.09, 34.71)
(17.92, 33.61)
