PIKACHU: Width (cm), Height (cm)
(18.14, 44.95)
(26.65, 41.50)
(26.18, 39.38)
(24.44, 40.18)
(21.20, 36.21)
(25.69, 37.25)
(19.34, 38.38)
(23.22, 40.88)
(23.44, 37.30)
(29.45, 37.20)
(28.51, 35.71)
(21.16, 41.31)
(24.01, 37.29)
(20.14, 44.05)
(28.95, 43.60)
(28.45, 35.71)
(21.58, 37.38)
(25.67, 41.69)
(25.31, 37.14)
(19.83, 36.32)
(27.15, 44.36)
(24.47, 40.71)
(27.34, 39.73)
(24.36, 42.85)
(18.01, 43.07)
(21.89, 36.90)
(18.23, 35.97)
(29.15, 39.31)
(28.54, 39.24)
(27.98, 39.67)
(21.69, 42.29)
(18.70, 41.73)
(28.54, 44.84)
(29.36, 35.98)
(19.03, 39.03)
(23.83, 38.39)
(18.83, 43.62)
(27.13, 37.49)
(27.19, 36.90)
(19.54, 39.49)
(23.70, 39.22)
(24.60, 37.79)
(21.18, 37.50)
(28.47, 44.23)
(23.08, 39.43)
(20.54, 43.61)
(24.47, 40.50)
(26.76, 35.51)
(20.41, 44.99)
(21.74, 43.36)
