(20.12, 28.70, '0')
(15.20, 27.10, '0')
(17.20, 27.67, '0')
(16.79, 34.37, '0')
(20.89, 31.48, '0')
(20.41, 31.09, '0')
(22.14, 26.71, '0')
(15.70, 32.29, '0')
(18.38, 26.63, '0')
(15.24, 28.79, '0')
(16.75, 34.90, '0')
(19.04, 31.40, '0')
(15.21, 30.57, '0')
(16.59, 31.85, '0')
(20.20, 33.43, '0')
(19.36, 32.76, '0')
(16.76, 27.29, '0')
(19.71, 25.32, '0')
(21.48, 28.15, '0')
(15.05, 27.68, '0')
(21.45, 27.11, '0')
(20.59, 34.43, '0')
(17.72, 33.76, '0')
(16.24, 28.15, '0')
(22.66, 31.55, '0')
(17.69, 28.96, '0')
(15.74, 34.15, '0')
(15.77, 29.59, '0')
(21.78, 27.65, '0')
(19.83, 27.47, '0')
(21.46, 30.61, '0')
(20.84, 27.63, '0')
(19.29, 30.85, '0')
(22.78, 33.98, '0')
(18.03, 28.99, '0')
(19.42, 27.19, '0')
(21.64, 34.98, '0')
(19.95, 30.10, '0')
(21.89, 25.91, '0')
(19.62, 25.47, '0')
(20.64, 26.10, '0')
(15.37, 31.27, '0')
(16.82, 32.92, '0')
(17.32, 29.22, '0')
(15.64, 25.64, '0')
(16.86, 28.82, '0')
(15.81, 34.96, '0')
(17.22, 30.29, '0')
(20.09, 34.71, '0')
(17.92, 33.61, '0')
